path,kind,bytes,loc
backend/api/search_api.py,.py,10077,306
backend/api/security_api.py,.py,16585,463
backend/api/security_txt.py,.py,1711,59
backend/api/self_diagnosis_api.py,.py,6564,184
backend/api/service_logs_api.py,.py,8384,274
backend/api/session_api.py,.py,14232,402
backend/api/session_management_api.py,.py,16386,520
backend/api/sql_connection_api.py,.py,3315,103
backend/api/supervisor_pin.py,.py,2365,73
backend/api/sync.py,.py,4740,141
backend/api/sync_batch_api.py,.py,20587,599
backend/api/sync_conflicts_api.py,.py,7870,244
backend/api/sync_management_api.py,.py,1885,55
backend/api/sync_status_api.py,.py,2313,72
backend/api/user_settings_api.py,.py,7505,223
backend/api/v2/__init__.py,.py,875,22
backend/api/v2/connection_status.py,.py,3606,111
backend/api/v2/health.py,.py,4638,140
backend/api/v2/items.py,.py,12119,335
backend/api/v2/metrics.py,.py,3118,100
backend/api/v2/sessions.py,.py,11578,314
backend/api/v2/supervisor.py,.py,1736,52
backend/api/variance_api.py,.py,2017,68
backend/api/websocket_api.py,.py,4135,121
backend/auth/__init__.py,.py,316,18
backend/auth/dependencies.py,.py,10796,310
backend/auth/jwt_provider.py,.py,2014,70
backend/auth/permissions.py,.py,8193,253
backend/bandit_report.json,.json,0,0
backend/config.py,.py,16923,431
backend/core/__init__.py,.py,102,5
backend/core/database.py,.py,870,36
backend/core/globals.py,.py,1069,31
backend/core/lifespan.py,.py,31855,854
backend/core/schemas/__init__.py,.py,481,21
backend/core/schemas/audit_log.py,.py,3301,105
backend/core/schemas/user_settings.py,.py,3098,88
backend/core/validators/__init__.py,.py,337,17
backend/core/validators/pin_validator.py,.py,4970,183
backend/core/websocket_manager.py,.py,2690,71
backend/create_readonly_user.sql,.sql,326,10
backend/data/schema.sql,.sql,5929,221
backend/data/schema_update_1.sql,.sql,260,11
backend/db/__init__.py,.py,70,2
backend/db/indexes.py,.py,9525,271
backend/db/initialization.py,.py,7227,201
backend/db/migrations.py,.py,11558,279
backend/db/runtime.py,.py,1680,61
backend/db_mapping_config.py,.py,17231,413
backend/debug_response_model.py,.py,332,14
backend/error_messages.py,.py,10700,284
backend/exceptions.py,.py,5237,191
backend/fix_typing.py,.py,2088,56
backend/locustfile.py,.py,885,28
backend/main.py,.py,4480,92
backend/middleware/__init__.py,.py,78,2
backend/middleware/compression_middleware.py,.py,3476,109
backend/middleware/input_sanitization.py,.py,8270,214
backend/middleware/logging_middleware.py,.py,7512,220
backend/middleware/performance_middleware.py,.py,3194,109
backend/middleware/rate_limit_middleware.py,.py,4347,115
backend/middleware/request_id.py,.py,4084,113
backend/middleware/request_size_limit.py,.py,2417,68
backend/middleware/security.py,.py,7410,261
backend/middleware/security_headers.py,.py,4283,110
backend/middleware/setup.py,.py,3884,112
backend/models/__init__.py,.py,0,0
backend/models/analytics.py,.py,1378,48
backend/models/preferences.py,.py,998,39
backend/models/sync.py,.py,694,28
backend/models/user.py,.py,2240,84
backend/pyproject.toml,.toml,625,23
backend/pyrightconfig.json,.json,537,30
backend/pytest.ini,.ini,753,29
backend/requirements.txt,.txt,1724,61
backend/scripts/README.md,.md,412,14
backend/scripts/add_performance_indexes.py,.py,4052,129
backend/scripts/add_test_items.py,.py,3222,102
backend/scripts/backfill_new_fields.py,.py,9231,285
backend/scripts/barcode_analyzer.py,.py,8782,285
backend/scripts/batch_condition_manager.py,.py,16540,498
backend/scripts/check_barcode_continuity.py,.py,3264,103
backend/scripts/check_barcode_lengths.py,.py,1181,45
backend/scripts/check_databases.py,.py,6462,199
backend/scripts/check_mongodb_items.py,.py,1443,49
backend/scripts/check_other_barcode_columns.py,.py,1543,52
backend/scripts/check_other_barcodes.py,.py,1465,48
backend/scripts/check_sql_barcodes.py,.py,3072,87
backend/scripts/check_sql_barcodes_v2.py,.py,2463,70
backend/scripts/check_sql_duplicates.py,.py,1496,46
backend/scripts/check_sql_server_config.py,.py,4986,143
backend/scripts/check_sql_server_connection.py,.py,10052,269
backend/scripts/check_sync_optimization.py,.py,2184,65
backend/scripts/check_users.py,.py,1937,70
backend/scripts/check_warehouses.py,.py,2142,66
backend/scripts/codebase_upgrade_checker.py,.py,7755,216
backend/scripts/create_feature_indexes.py,.py,3392,116
backend/scripts/create_item_indexes.py,.py,1044,30
backend/scripts/debug_sql_config.py,.py,1405,47
backend/scripts/discover_tables.py,.py,8518,284
backend/scripts/explore_barcodes.py,.py,2991,89
backend/scripts/generate_api_docs.py,.py,37735,832
backend/scripts/generate_secrets.py,.py,4168,123
backend/scripts/inspect_db.py,.py,4604,139
backend/scripts/list_columns.py,.py,1080,40
backend/scripts/load_test_search.py,.py,1700,56
backend/scripts/migrate_user_settings.py,.py,4042,136
backend/scripts/report_generator.py,.py,13266,377
backend/scripts/restore_mongodb_backup.py,.py,4754,149
backend/scripts/set_supervisor_pin.py,.py,1262,44
backend/scripts/setup_server_localhost.py,.py,3745,115
backend/scripts/stress_test_concurrent_users.py,.py,17437,518
backend/scripts/test_db_connection.py,.py,5012,159
backend/scripts/test_sql_direct.py,.py,1294,39
backend/scripts/update_config_from_ssms.py,.py,2669,90
backend/scripts/validate_env.py,.py,1838,67
backend/seed_e2e.py,.py,949,35
backend/server.py,.py,87016,2353
backend/services/__init__.py,.py,76,2
backend/services/activity_log.py,.py,9137,267
backend/services/advanced_erp_sync.py,.py,17521,458
backend/services/advanced_report_service.py,.py,30725,766
backend/services/ai_search.py,.py,3629,114
backend/services/ai_variance.py,.py,9604,285
backend/services/analytics_service.py,.py,4717,126
backend/services/audit_service.py,.py,8154,293
backend/services/auto_diagnosis.py,.py,26246,715
backend/services/auto_error_finder.py,.py,10147,274
backend/services/auto_recovery.py,.py,10888,321
backend/services/auto_sync_manager.py,.py,9352,262
backend/services/batch_operations.py,.py,11103,291
backend/services/cache/redis_service.py,.py,1764,62
backend/services/cache_service.py,.py,9198,276
backend/services/change_detection_sync.py,.py,14762,423
backend/services/circuit_breaker.py,.py,8717,265
backend/services/data_governance.py,.py,17710,481
backend/services/data_validation_service.py,.py,16932,408
backend/services/database_health.py,.py,11286,308
backend/services/database_manager.py,.py,19918,519
backend/services/database_optimizer.py,.py,11393,299
backend/services/dynamic_fields_service.py,.py,16779,458
backend/services/dynamic_report_service.py,.py,21162,604
backend/services/enhanced_connection_pool.py,.py,17575,460
backend/services/enrichment_service.py,.py,18768,570
backend/services/enterprise_audit.py,.py,15527,459
backend/services/enterprise_security.py,.py,18869,544
backend/services/error_log.py,.py,15195,437
backend/services/error_notification_service.py,.py,7970,253
backend/services/errors.py,.py,1190,58
backend/services/feature_flags.py,.py,9277,298
backend/services/item_service.py,.py,2472,70
backend/services/lock_manager.py,.py,9824,305
backend/services/monitoring_service.py,.py,9834,267
backend/services/observability.py,.py,12365,386
backend/services/pin_auth_service.py,.py,6186,177
backend/services/pubsub_service.py,.py,8883,269
backend/services/rate_limiter.py,.py,6428,197
backend/services/redis_service.py,.py,7751,237
backend/services/refresh_token.py,.py,8449,225
backend/services/reporting/compare_engine.py,.py,8372,254
backend/services/reporting/export_engine.py,.py,6162,195
backend/services/reporting/query_builder.py,.py,9606,328
backend/services/reporting/snapshot_engine.py,.py,7930,253
backend/services/runtime.py,.py,885,29
backend/services/scheduled_export_service.py,.py,14923,420
backend/services/search_service.py,.py,13166,397
backend/services/sql_connection_optimizer.py,.py,7615,244
backend/services/sql_sync_service.py,.py,21900,604
backend/services/sync_conflicts_service.py,.py,10823,309
backend/services/system_report_service.py,.py,4200,120
backend/services/websocket/manager.py,.py,1651,59
backend/services/websocket_service.py,.py,2845,72
backend/sql_server_connector.py,.py,27613,772
backend/tests/__init__.py,.py,24,1
backend/tests/api/test_auth.py,.py,4626,150
backend/tests/api/test_auth_api.py,.py,5143,155
backend/tests/api/test_auth_handler.py,.py,3497,105
backend/tests/api/test_enhanced_item_api.py,.py,5145,183
backend/tests/api/test_erp_api.py,.py,5796,198
backend/tests/api/test_item_verification_api.py,.py,3898,125
backend/tests/api/test_mapping_api.py,.py,5144,174
backend/tests/api/test_pin_auth_api.py,.py,6087,181
backend/tests/api/test_preferences_api.py,.py,3654,123
backend/tests/api/test_session_api.py,.py,5912,187
backend/tests/api/test_user_settings_api.py,.py,3594,103
backend/tests/api/test_websocket_api.py,.py,3875,114
backend/tests/conftest.py,.py,4546,146
backend/tests/evaluation/README.md,.md,8180,304
backend/tests/evaluation/__init__.py,.py,979,33
backend/tests/evaluation/conftest.py,.py,2689,87
backend/tests/evaluation/evaluators.py,.py,23812,698
backend/tests/evaluation/metrics_collector.py,.py,17094,545
backend/tests/evaluation/reports/evaluation_report_20251208_091628.json,.json,441,23
backend/tests/evaluation/reports/evaluation_report_20251208_091630.json,.json,446,23
backend/tests/evaluation/run_evaluation.py,.py,12887,382
backend/tests/evaluation/test_api_performance.py,.py,12042,368
backend/tests/evaluation/test_business_logic.py,.py,14534,416
backend/tests/evaluation/test_data_quality.py,.py,13393,402
backend/tests/evaluation/test_security_evaluation.py,.py,17115,462
backend/tests/evaluation/test_workflow.py,.py,14794,476
backend/tests/test_admin_control_api.py,.py,4916,156
backend/tests/test_ai_variance.py,.py,1936,61
backend/tests/test_analytics_api.py,.py,1160,36
backend/tests/test_analytics_service.py,.py,2846,89
backend/tests/test_api_warehouses_manual.py,.py,2873,95
backend/tests/test_architecture.py,.py,3104,101
backend/tests/test_auth.py,.py,2901,99
backend/tests/test_auth_path.py,.py,771,23
backend/tests/test_auth_pin.py,.py,1253,40
backend/tests/test_auto_diagnosis.py,.py,6501,162
backend/tests/test_barcode_validation.py,.py,3067,81
backend/tests/test_basic.py,.py,1164,49
backend/tests/test_batch_operations.py,.py,13118,380
backend/tests/test_comprehensive.py,.py,8944,275
backend/tests/test_count_lines_api.py,.py,20080,529
backend/tests/test_enhanced_connection_pool.py,.py,7840,212
backend/tests/test_enhanced_item_search.py,.py,3613,104
backend/tests/test_erp_mapping.py,.py,1715,52
backend/tests/test_erp_sync_service.py,.py,12258,351
backend/tests/test_error_handler_with_diagnosis.py,.py,8802,293
backend/tests/test_error_logging.py,.py,2305,82
backend/tests/test_exceptions.py,.py,6652,212
backend/tests/test_integration.py,.py,8061,225
backend/tests/test_items.py,.py,5064,151
backend/tests/test_locations_api.py,.py,1888,57
backend/tests/test_performance.py,.py,8757,256
backend/tests/test_pin_auth.py,.py,5002,140
backend/tests/test_pin_login_manual.py,.py,1920,63
backend/tests/test_queries.json,.json,687,22
backend/tests/test_result.py,.py,6966,221
backend/tests/test_routes_check.py,.py,491,19
backend/tests/test_search_api.py,.py,2115,71
backend/tests/test_search_service.py,.py,3255,111
backend/tests/test_security_headers.py,.py,5556,150
backend/tests/test_sessions_api.py,.py,1974,59
backend/tests/test_simple.py,.py,398,12
backend/tests/test_sql_readonly.py,.py,3140,99
backend/tests/test_stock_verification.py,.py,6008,180
